,지점,지점명,일시,평균기온(°C),평균 풍속(m/s),상대습도
123,310,궁촌,2013,12.8,2.0,68.36666666666666
124,310,궁촌,2014,12.9,1.8,70.60000000000001
125,310,궁촌,2015,13.1,1.9,70.78333333333333
126,310,궁촌,2016,13.3,1.8,71.61666666666666
127,310,궁촌,2017,13.3,1.9,65.76666666666667
128,310,궁촌,2018,12.9,1.8,67.63333333333333
129,310,궁촌,2019,13.9,1.8,71.19090909090909
130,310,궁촌,2020,13.5,1.9,72.16666666666667
131,310,궁촌,2021,13.4,1.7,69.31666666666666
132,311,가야산,2012,8.7,1.0,75.36999999999999
133,311,가야산,2013,9.6,0.8,77.47500000000001
134,311,가야산,2014,9.4,0.9,77.8
135,311,가야산,2015,9.8,0.9,79.39166666666667
136,311,가야산,2016,10.1,0.8,79.52499999999999
137,311,가야산,2017,9.7,1.0,71.925
138,311,가야산,2018,9.5,0.9,70.25
139,311,가야산,2019,10.0,0.9,68.875
140,311,가야산,2020,9.9,0.9,69.89999999999999
141,311,가야산,2021,9.6,0.9,70.79166666666667
142,312,주왕산,2012,10.0,1.3,75.60833333333333
143,312,주왕산,2013,10.9,1.2,74.05833333333334
144,312,주왕산,2014,10.9,1.2,74.7
145,312,주왕산,2015,11.5,1.2,74.49166666666666
146,312,주왕산,2016,11.8,1.2,75.2
147,312,주왕산,2017,11.0,1.1,72.375
148,312,주왕산,2018,11.1,1.2,74.36666666666666
149,312,주왕산,2019,11.7,1.1,75.11666666666666
150,312,주왕산,2020,11.6,1.1,75.49166666666666
151,312,주왕산,2021,11.8,1.1,76.3
152,313,양지암,2012,13.9,2.4,73.78333333333333
153,313,양지암,2013,14.8,2.2,70.79166666666667
154,313,양지암,2014,14.8,2.9,72.675
155,313,양지암,2015,14.6,2.8,77.33333333333333
156,313,양지암,2016,15.2,2.7,76.36666666666666
157,313,양지암,2017,15.2,2.7,70.35833333333333
158,313,양지암,2018,15.0,2.8,72.50833333333334
159,313,양지암,2019,15.6,2.7,72.94166666666666
160,313,양지암,2020,,2.7,73.9
161,314,덕유봉,2012,4.3,4.1,
162,314,덕유봉,2013,5.3,3.7,
163,314,덕유봉,2014,5.4,3.7,
164,314,덕유봉,2015,6.0,3.9,
165,314,덕유봉,2016,6.1,4.0,48.35
166,314,덕유봉,2017,5.2,3.9,
167,314,덕유봉,2018,5.6,3.9,
168,314,덕유봉,2019,5.8,,74.7
169,314,덕유봉,2020,5.3,4.8,79.28181818181818
170,314,덕유봉,2021,5.7,4.7,78.8
171,315,성삼재,2012,7.4,3.0,78.075
172,315,성삼재,2014,8.0,2.3,77.625
173,315,성삼재,2015,8.5,2.7,79.48333333333333
174,315,성삼재,2016,8.8,2.8,80.45833333333333
175,315,성삼재,2017,8.1,2.8,77.49166666666666
176,315,성삼재,2018,8.4,2.8,79.03333333333333
177,315,성삼재,2019,8.6,2.0,78.14999999999999
178,315,성삼재,2020,8.3,1.8,76.71666666666667
179,315,성삼재,2021,8.8,2.6,73.125
180,316,무등산,2012,8.6,5.6,81.21818181818182
181,316,무등산,2013,8.9,,79.95
182,316,무등산,2014,8.2,5.1,79.96666666666667
183,316,무등산,2015,9.1,5.0,81.18333333333334
184,316,무등산,2016,9.8,5.1,80.26666666666667
185,316,무등산,2017,9.0,5.2,73.20833333333333
186,316,무등산,2018,9.1,5.0,75.49166666666666
187,316,무등산,2019,9.3,5.3,69.91666666666667
188,316,무등산,2020,9.2,5.9,73.33333333333333
189,316,무등산,2021,9.9,5.7,72.68333333333334
190,317,모악산,2012,12.0,2.0,78.02499999999999
191,317,모악산,2013,12.4,1.5,78.58181818181818
192,317,모악산,2014,12.6,1.4,79.72500000000001
193,317,모악산,2015,13.0,1.4,80.73333333333333
194,317,모악산,2016,13.4,1.5,81.18333333333334
195,317,모악산,2017,12.5,1.4,78.25
196,317,모악산,2018,12.8,1.2,74.69166666666666
197,317,모악산,2019,12.9,1.3,74.64166666666667
198,317,모악산,2020,12.9,1.4,76.36666666666666
199,317,모악산,2021,13.4,1.4,75.95
200,318,용평,2012,6.5,2.3,
201,318,용평,2013,7.5,2.4,
202,318,용평,2014,7.5,2.0,
203,318,용평,2015,8.1,2.1,
204,318,용평,2016,8.5,2.1,
205,318,용평,2017,7.7,2.2,
206,318,용평,2018,7.7,2.2,
207,318,용평,2019,8.3,1.9,
208,318,용평,2020,8.0,2.2,
209,318,용평,2021,8.1,2.3,78.08
210,319,천부,2012,13.2,2.4,64.55000000000001
211,319,천부,2013,14.4,3.0,65.68333333333334
212,319,천부,2014,14.2,2.7,65.30833333333334
213,319,천부,2015,14.1,2.0,66.90833333333333
214,319,천부,2016,14.2,1.9,68.74166666666666
215,319,천부,2017,14.2,2.0,65.175
216,319,천부,2018,14.1,2.1,66.68333333333334
217,319,천부,2019,14.7,1.9,66.925
218,319,천부,2020,14.5,2.0,68.80833333333334
219,319,천부,2021,14.4,2.1,70.22500000000001
220,320,향로봉,2012,3.4,4.2,
221,320,향로봉,2013,4.1,,
222,320,향로봉,2014,4.7,3.9,
223,320,향로봉,2015,5.2,4.1,
224,320,향로봉,2016,5.3,3.9,
225,320,향로봉,2020,4.8,4.2,
226,320,향로봉,2021,4.9,4.5,83.67999999999999
227,321,원통,2012,9.5,1.7,
228,321,원통,2013,10.0,1.7,
229,321,원통,2014,10.5,1.6,
230,321,원통,2015,10.8,1.6,
231,321,원통,2016,11.0,1.5,
232,321,원통,2017,10.3,1.6,
233,321,원통,2018,10.2,1.6,
234,321,원통,2019,10.9,1.4,
235,321,원통,2020,10.8,1.4,
236,321,원통,2021,10.8,1.5,76.64
237,322,상서,2012,8.0,0.9,
238,322,상서,2013,8.4,0.8,
239,322,상서,2014,9.1,0.8,
240,322,상서,2016,9.5,0.7,
241,322,상서,2017,8.6,0.7,
242,322,상서,2018,8.6,0.7,72.03333333333333
243,322,상서,2019,9.3,0.6,74.00833333333334
244,322,상서,2020,9.2,0.7,74.93333333333334
245,322,상서,2021,9.3,0.9,74.26666666666667
246,323,마현,2012,8.4,0.9,
247,323,마현,2013,8.8,0.9,
248,323,마현,2014,9.6,0.9,
249,323,마현,2015,9.9,0.9,
250,323,마현,2016,10.1,0.8,
251,323,마현,2017,9.3,0.9,
252,323,마현,2018,9.1,1.0,
253,323,마현,2019,9.9,0.9,
254,323,마현,2020,9.8,0.9,
255,323,마현,2021,10.2,1.4,74.25
256,324,송계,2012,11.0,1.4,74.91666666666667
257,324,송계,2013,11.5,1.3,76.86666666666666
258,324,송계,2014,11.8,1.2,74.175
259,324,송계,2015,12.3,1.2,72.75
260,324,송계,2016,12.5,1.2,67.47500000000001
261,324,송계,2017,11.8,1.2,67.575
262,324,송계,2018,11.8,1.1,68.66666666666667
263,324,송계,2019,12.3,1.1,69.5
264,324,송계,2020,12.1,1.1,72.08333333333333
265,324,송계,2021,12.3,1.1,72.60833333333333
266,325,백운,2012,9.3,1.1,77.38181818181819
267,325,백운,2013,9.7,1.0,81.75
268,325,백운,2014,10.3,1.0,80.43333333333334
269,325,백운,2015,11.1,1.0,81.10833333333333
270,325,백운,2016,11.2,1.0,81.64166666666667
271,325,백운,2017,10.4,1.1,78.8
272,325,백운,2018,10.3,1.1,78.0
273,325,백운,2019,10.9,1.0,77.95
274,325,백운,2020,10.9,1.1,78.125
275,325,백운,2021,11.2,1.1,75.79166666666667
276,326,용문산,2012,10.0,0.9,75.09166666666667
277,326,용문산,2013,10.1,0.8,81.01666666666667
278,326,용문산,2014,10.7,0.9,78.625
279,326,용문산,2015,11.0,0.8,76.3
280,326,용문산,2016,11.0,0.8,77.36666666666666
281,326,용문산,2017,10.2,0.8,76.35833333333333
282,326,용문산,2018,10.2,0.8,76.425
283,326,용문산,2019,10.9,0.7,74.73333333333333
284,326,용문산,2020,10.8,0.8,76.79166666666667
285,326,용문산,2021,11.0,0.8,78.125
286,327,우암산,2012,11.3,0.7,76.28333333333333
287,327,우암산,2013,12.1,0.7,79.04166666666667
288,327,우암산,2014,12.3,0.7,75.51666666666667
289,327,우암산,2015,12.7,0.7,75.075
290,327,우암산,2016,12.8,0.7,74.71666666666667
291,327,우암산,2017,11.9,0.7,71.2
292,327,우암산,2018,11.9,0.5,72.27499999999999
293,327,우암산,2019,12.3,0.5,71.38333333333334
294,327,우암산,2020,11.9,0.6,74.56666666666666
295,327,우암산,2021,12.5,,75.26666666666667
296,328,중문,2012,15.5,1.3,
297,328,중문,2013,16.2,1.2,
298,328,중문,2014,16.4,1.5,
299,328,중문,2015,16.3,1.9,
300,328,중문,2016,16.2,1.8,
301,328,중문,2017,15.9,1.8,
302,328,중문,2018,15.9,1.8,71.67999999999999
303,328,중문,2019,16.4,1.9,67.94166666666668
304,328,중문,2020,16.2,1.9,73.34166666666667
305,328,중문,2021,16.9,2.6,70.88333333333334
306,329,산천단,2012,12.1,1.5,
307,329,산천단,2013,13.0,2.2,
308,329,산천단,2014,12.7,2.4,
309,329,산천단,2015,13.1,2.3,
310,329,산천단,2016,13.6,2.3,
311,329,산천단,2017,13.2,2.3,
312,329,산천단,2018,13.1,2.4,
313,329,산천단,2019,13.2,2.3,
314,329,산천단,2020,13.2,2.2,
315,329,산천단,2021,13.9,2.7,78.675
316,330,대흘,2012,14.3,3.1,
317,330,대흘,2013,15.2,2.4,
318,330,대흘,2014,14.8,2.4,
319,330,대흘,2015,15.0,2.3,
320,330,대흘,2016,15.5,2.2,
321,330,대흘,2017,15.1,2.5,
322,330,대흘,2018,15.0,3.1,
323,330,대흘,2019,15.2,3.0,
324,330,대흘,2020,15.2,3.1,
325,330,대흘,2021,15.9,3.5,77.6
326,400,강남,2012,13.1,1.7,59.8
327,400,강남,2013,13.1,1.7,61.90833333333333
328,400,강남,2014,13.9,1.7,59.06666666666666
329,400,강남,2015,14.3,1.7,58.324999999999996
330,400,강남,2016,14.5,1.7,58.86666666666667
331,400,강남,2017,13.7,1.7,58.13333333333333
332,400,강남,2018,13.7,1.6,57.93333333333334
333,400,강남,2020,13.9,1.3,64.02499999999999
334,400,강남,2021,14.2,1.2,63.55833333333334
335,401,서초,2012,13.0,1.3,
336,401,서초,2013,13.3,1.3,
337,401,서초,2014,14.1,1.3,
338,401,서초,2015,14.4,1.3,
339,401,서초,2016,14.7,1.3,
340,401,서초,2017,13.5,1.6,
341,401,서초,2018,13.3,1.5,
342,401,서초,2019,13.9,1.5,
343,401,서초,2020,13.6,1.5,
344,401,서초,2021,14.0,1.5,
345,402,강동,2012,12.0,1.3,67.98333333333333
346,402,강동,2013,12.4,1.3,71.20833333333333
347,402,강동,2014,13.3,1.3,65.625
348,402,강동,2015,13.9,1.2,63.275
349,402,강동,2016,13.7,1.3,67.39999999999999
350,402,강동,2017,12.9,1.3,63.84166666666667
351,402,강동,2018,13.0,1.3,60.64166666666666
352,402,강동,2019,13.6,1.3,60.88333333333333
353,402,강동,2020,13.6,1.4,61.49166666666667
354,403,송파,2012,13.1,1.7,
355,403,송파,2013,13.3,1.7,
356,403,송파,2014,14.2,1.6,
357,403,송파,2015,14.4,1.4,
358,403,송파,2016,14.6,1.6,
359,403,송파,2017,13.9,1.6,
360,403,송파,2018,13.8,1.6,
361,403,송파,2019,14.5,1.6,
362,403,송파,2020,14.2,1.6,
363,403,송파,2021,14.6,1.6,
364,404,강서,2012,12.1,1.7,
365,404,강서,2013,12.5,1.6,
366,404,강서,2014,13.5,1.6,
367,404,강서,2015,13.8,1.6,
368,404,강서,2016,14.0,1.6,
369,404,강서,2018,12.8,1.7,
370,404,강서,2019,13.5,1.6,
371,404,강서,2020,13.3,1.7,
372,404,강서,2021,13.7,1.5,
373,405,양천,2012,13.0,1.5,
374,405,양천,2013,13.2,1.5,
375,405,양천,2014,14.0,1.4,
376,405,양천,2015,14.4,1.4,
377,405,양천,2016,14.6,1.3,
378,405,양천,2017,13.7,1.3,
379,405,양천,2018,13.7,1.4,
380,405,양천,2019,14.4,1.3,
381,405,양천,2020,14.1,1.4,
382,405,양천,2021,14.7,1.2,
383,406,도봉,2012,11.4,1.2,66.94166666666666
384,406,도봉,2013,11.7,1.1,71.36666666666666
385,406,도봉,2014,12.5,1.0,69.2
386,406,도봉,2015,12.9,1.1,68.27499999999999
387,406,도봉,2016,13.0,1.1,66.425
388,406,도봉,2017,12.3,1.1,67.66666666666667
389,406,도봉,2018,12.3,1.2,67.94166666666666
390,406,도봉,2019,12.9,1.1,68.78333333333333
391,406,도봉,2020,12.8,1.2,74.44166666666666
392,406,도봉,2021,13.1,1.1,75.10833333333333
393,407,노원,2012,11.4,1.8,67.74166666666666
394,407,노원,2013,11.3,1.3,74.61666666666666
395,407,노원,2014,11.9,1.2,73.125
396,407,노원,2015,12.3,1.3,73.05
397,407,노원,2016,12.5,1.2,71.60000000000001
398,407,노원,2017,11.7,1.2,70.83333333333333
399,407,노원,2018,11.7,1.2,71.15833333333333
400,407,노원,2019,12.3,1.1,71.33333333333333
401,407,노원,2020,12.2,1.2,68.70833333333333
402,407,노원,2021,12.3,1.2,68.65833333333333
403,408,동대문,2012,12.5,1.8,63.05833333333334
404,408,동대문,2013,12.9,1.6,66.89166666666667
405,408,동대문,2014,13.5,1.6,65.21666666666667
406,408,동대문,2015,13.9,1.8,64.59166666666667
407,408,동대문,2016,14.2,1.8,61.81666666666666
408,408,동대문,2017,13.5,1.7,59.125
409,408,동대문,2018,13.5,1.8,57.6
410,408,동대문,2019,14.2,1.7,56.05833333333334
411,408,동대문,2020,13.9,1.7,57.78333333333333
412,408,동대문,2021,14.2,1.7,57.99166666666667
413,409,중랑,2012,13.8,2.1,62.34166666666667
414,409,중랑,2013,13.4,2.1,66.40833333333333
415,409,중랑,2014,13.8,2.0,63.916666666666664
416,409,중랑,2015,14.2,2.0,63.300000000000004
417,409,중랑,2016,14.3,2.0,61.15833333333333
418,409,중랑,2017,13.6,2.0,59.19166666666666
419,409,중랑,2018,13.6,2.1,58.583333333333336
420,409,중랑,2019,14.2,1.9,58.916666666666664
421,409,중랑,2020,14.0,2.0,61.975
422,409,중랑,2021,14.4,1.9,59.30833333333334
423,410,기상청,2012,12.8,1.7,55.14166666666667
424,410,기상청,2013,13.0,1.7,59.15
425,410,기상청,2014,13.8,1.5,57.225
426,410,기상청,2015,14.2,1.6,55.99166666666667
427,410,기상청,2016,14.2,1.5,55.65833333333333
428,410,기상청,2017,13.6,1.5,55.1
429,410,기상청,2018,13.1,1.5,57.083333333333336
430,410,기상청,2019,13.5,1.4,56.10833333333333
431,410,기상청,2020,13.4,1.4,65.925
432,410,기상청,2021,14.1,1.5,59.025
433,411,마포,2012,12.0,2.7,66.20833333333333
434,411,마포,2013,12.3,2.6,72.61666666666666
435,411,마포,2014,13.2,2.5,69.10833333333333
436,411,마포,2015,13.9,2.5,62.44166666666666
437,411,마포,2016,14.0,2.6,59.300000000000004
438,411,마포,2017,13.2,2.6,55.025
439,411,마포,2018,13.1,2.5,59.10833333333333
440,411,마포,2019,13.9,2.4,57.88333333333333
441,411,마포,2020,13.6,2.6,61.09166666666667
442,412,서대문,2012,11.8,1.5,
443,412,서대문,2013,11.9,1.3,
444,412,서대문,2014,12.8,1.3,
445,412,서대문,2015,13.1,1.3,
446,412,서대문,2016,13.4,1.3,
447,412,서대문,2017,12.6,1.3,
448,412,서대문,2018,12.5,1.4,
449,412,서대문,2019,13.2,1.3,
450,412,서대문,2020,12.9,1.3,58.05
451,412,서대문,2021,13.0,1.4,65.34166666666667
452,413,광진,2012,13.0,1.8,63.574999999999996
453,413,광진,2013,13.3,1.7,67.30833333333334
454,413,광진,2014,14.1,1.7,64.36666666666666
455,413,광진,2015,14.3,1.7,63.09166666666667
456,413,광진,2016,13.9,1.6,62.59166666666667
457,413,광진,2017,13.3,1.6,62.75
458,413,광진,2018,13.2,1.6,62.800000000000004
459,413,광진,2019,13.9,1.5,60.975
460,413,광진,2020,13.6,1.5,59.125
461,413,광진,2021,14.0,1.5,57.76666666666667
462,414,성북,2012,11.8,1.6,65.69166666666666
463,414,성북,2013,12.2,1.6,70.75833333333334
464,414,성북,2014,13.1,1.6,68.83333333333333
465,414,성북,2015,13.7,1.6,67.74166666666666
466,414,성북,2016,13.4,1.5,65.03333333333333
467,414,성북,2017,12.7,1.6,64.39999999999999
468,414,성북,2018,12.6,1.6,64.04166666666667
469,414,성북,2019,13.3,1.5,64.39166666666667
470,414,성북,2020,12.0,1.6,67.49166666666666
471,414,성북,2021,12.6,1.6,67.15833333333333
472,415,용산,2012,12.8,1.8,
473,415,용산,2013,13.0,1.8,
474,415,용산,2014,13.9,1.8,
475,415,용산,2015,14.3,1.8,
476,415,용산,2016,14.4,1.7,
477,415,용산,2017,13.7,1.7,
478,415,용산,2018,13.7,1.8,
479,415,용산,2019,14.3,1.7,
480,415,용산,2020,13.9,1.9,
481,415,용산,2021,14.2,1.9,61.975
482,416,은평,2012,10.9,1.0,
483,416,은평,2013,11.0,0.9,
484,416,은평,2014,11.7,0.9,
485,416,은평,2015,12.0,0.9,
486,416,은평,2016,12.0,0.8,
487,416,은평,2017,,0.8,
488,416,은평,2018,11.2,0.9,
489,416,은평,2019,11.7,0.9,
490,416,은평,2020,11.5,,
491,416,은평,2021,12.0,1.0,
492,417,금천,2012,12.6,1.9,
493,417,금천,2013,12.7,1.9,
494,417,금천,2014,13.4,1.8,
495,417,금천,2015,13.7,1.8,
496,417,금천,2016,14.0,1.7,
497,417,금천,2017,13.3,1.8,
